Title,Authors,Abstract,Published Year,Published Month,Journal,Field,subField,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Multiple Agent Designs in Conversational Intelligent Tutoring Systems.,"Lippert, Anne; Shubeck, Keith; Morgan, Brent; Hampton, Andrew; Graesser, Arthur","This article describes designs that use multiple conversational agents within the framework of intelligent tutoring systems. Agents in this case are computerized talking heads or embodied animated avatars that help students learn by performing actions and holding conversations with them in natural language. The earliest conversational intelligent tutoring systems were limited to a single agent that interacted with a student in the role of a teacher or expert. Technological advances have since made possible systems in which multiple agents interact with the learner and each other to model ideal behavior, strategies, reflections, and social interactions. Though still an emerging technology, multi-agent intelligent tutoring systems afford pedagogical benefits that go beyond the capabilities of the single-agent system and have facilitated learning gains on a variety of subject matters and skills, including science, technology, engineering, mathematics, research methods, metacognition, and language comprehension. The present work describes some common multi-agent designs that may be used to achieve a variety of pedagogical goals. We provide examples of how these designs have been implemented in educational or experimental settings and anticipate future use within the field of artificial intelligence. ",2020,09//,"Technology, Knowledge & Learning",education,edu_tech,25,3,443-463,,,,#4324,Lippert 2020,,
"Intelligent tutoring systems: a systematic review of characteristics, applications, and evaluation methods.","Mousavinasab, Elham; Zarifsanaiey, Nahid; Kalhori, Sharareh R. Niakan; Rakhshan, Mahnaz; Keikha, Leila; Saeedi, Marjan Ghazi","With the rapid growth of technology, computer learning has become increasingly integrated with artificial intelligence techniques in order to develop more personalized educational systems. These systems are known as Intelligent Tutoring systems (ITSs). This paper focused on the variant characteristics of ITSs developed across different educational fields. The original studies from 2007 to 2017 were extracted from the PubMed, ProQuest, Scopus, Google scholar, Embase, Cochrane, and Web of Science databases. Finally, 53 papers were included in the study based on inclusion criteria. The educational fields in the ITSs were mainly computer sciences (37.73%). Action-condition rule-based reasoning, data mining, and Bayesian network with 33.96%, 22.64%, and 20.75% frequency respectively, were the most frequent artificial intelligent techniques applied in the ITSs. These techniques enable ITSs to deliver adaptive guidance and instruction, evaluate learners, define and update the learner's model, and classify or cluster learners. Specifically, the performance of the system, learner's performance, and experiences were used for evaluation of ITSs. Most ITSs were designed for web user interfaces. Although these systems could facilitate reasoning in the learning process, these systems have rarely been applied in experimental courses including problem-solving, decisionmaking in physics, chemistry, and clinical fields. Due to the important role of a cell phone in facilitating personalized learning and given the low rate of using mobile-based ITSs, this study has recommended the development and evaluation of mobile-based ITSs.",2021,02//,Interactive Learning Environments,education,edu_learn,29,1,142-163,,,,#4322,Mousavinasab 2021,,
Engineering multiuser museum interactives for shared cultural experiences.,"Confalonieri, Roberto; Yee-King, Matthew; Hazelden, Katina; d׳Inverno, Mark; de Jonge, Dave; Osman, Nardine; Sierra, Carles; Agmoud, Leila; Prade, Henri","Multiuser museum interactives are computer systems installed in museums or galleries which allow several visitors to interact together with digital representations of artefacts and information from the museum׳s collection. In this paper, we describe WeCurate, a socio-technical system that supports co-browsing across multiple devices and enables groups of users to collaboratively curate a collection of images, through negotiation, collective decision making and voting. The engineering of such a system is challenging since it requires to address several problems such as: distributed workflow control, collective decision making and multiuser synchronous interactions. The system uses a peer-to-peer Electronic Institution (EI) to manage and execute a distributed curation workflow and models community interactions into scenes, where users engage in different social activities. Social interactions are enacted by intelligent agents that interface the users participating in the curation workflow with the EI infrastructure. The multiagent system supports collective decision making, representing the actions of the users within the EI, where the agents advocate and support the desires of their users e.g. aggregating opinions for deciding which images are interesting enough to be discussed, and proposing interactions and resolutions between disagreeing group members. Throughout the paper, we describe the enabling technologies of WeCurate, the peer-to-peer EI infrastructure, the agent collective decision making capabilities and the multi-modal interface. We present a system evaluation based on data collected from cultural exhibitions in which WeCurate was used as supporting multiuser interactive. ",2015,,Engineering Applications of Artificial Intelligence,engineering,edg_ai,46,,180-195,,,,#5636,,,
A ROOM WITH A VUI - VOICE USER INTERFACES IN THE TESOL CLASSROOM.,"Kent, David","Disruptive technologies have seen how students interact with their teachers, how we as teachers now prepare and provide learning, and how we might best incorporate artificial intelligence into the classroom. To this end, the pedagogical affordances offered by the voice-user interface of digital assistants is explored. Instructional strategies supported by examples are then provided, along with means for actioning their use in the classroom and evaluating their appropriateness and viability for enhancing language learning. ",2020,07//,Teaching English with Technology,education,edu_tech,20,3,96-124,,,,#4321,Kent 2020,,
Recommendations-based on semantic analysis of social networks in learning environments.,"Khaled, Abdelaziz; Ouchani, Samir; Chohra, Chemseddine","The expansion of social utilization within web applications provides a set of social media that allows users to contribute freely and interact with each other. Consequently, E-learning systems have benefited greatly from the concepts of the social web and the emerging technologies of the web semantic, where students and teachers are living and interacting mainly in the world of Web 2.0 and social networks. Especially, the Web semantic provides content that is understandable by machines and Web 2.0, which help to develop collaborative services. Further it can be integrated in a single social structure semantics that could be a good tool to improve the quality of learning. Our goal is to show that these technologies can be adopted to improve the e-Learning user experience and to provide a full automatic learning platform called iLearn. We present a learning environment formulated as a social network, in order to carry out an automatic semantic reasoning including the interactions between users as well as their relationships with the provided learning resources. We merge the analysis of social networks with the web semantics to go beyond the analysis of social graphs by integrating a treatment semantics of the knowledge that they contain and designed by the ontology formalism. iLearn develops two ontologies, the first helps to understand the feeling of users versus resources and recommendations, whereas the second categorizes the different resources. In particular, we present an interactive method of detecting communities to provide students belonging to the same learning community the best learning strategies, the strong collaborators candidates, and the relevant resources that meet well within their needs. • Fully automatic learning framework based on web semantics. • Grouping the users communities by extracting their common and individual interests. • Intelligent recommendations, based on the analysis of the interactions between users and communities. • Capture the underlying semantics of the users feelings and needs. • Guiding learners by recommending the best learning resources and practices. ",2019,12//,Computers in Human Behavior,technology,tech_human_inter,101,,435-449,,,,#4349,Khaled 2019,,
"Chatbot learning partners: Connecting learning experiences, interest and competence.","Fryer, Luke K.; Nakao, Kaori; Thompson, Andrew","Abstract Conversation practice, while paramount for all language learners, can be difficult to get enough of and very expensive. In this mobile age, chatbots are an obvious means of filling this gap, but have yet to realize their potential as practice partners. The current study was undertaken to examine why chatbots are not yet a substantial instrument for language learning engagement/practice, and to provide direction for future practice and chatbot development. To this end, building on a recent experimental study examining chatbot novelty effects, students undertook a pair of conversation activities: human and human-chatbot (via speech-to-text software). Immediately following the practice conversations, students' interest in the two partners was surveyed and open-ended textual feedback was collected. With these data sources and prior standardised test results, regression and content analysis of the data was undertaken. Findings indicated: 1) prior interest in human conversation partners was the best single predictor of future interest in chatbot conversations; 2) prior language competency was more strongly linked to interest in chatbot than human conversations; 3) that the qualitative experience of having ""learned more"" with the chatbot was strongly connected to task interest, even when reporting communication difficulties. Implications for practicing languages with currently available chatbots, for chatbots and related educational technology as sources of student interest and directions for chatbots future development are discussed. Highlights • Students' experiences with chatbots as language learning partners was assessed. • Interest in Human conversation was the strongest predictor of interest in chatbots. • Seeing chatbots as an opportunity to ""learn-more"" was strongly linked to interest.",2019,04//,Computers in Human Behavior,technology,tech_human_inter,93,,279-289,,,,#4348,Fryer 2019,,
Towards multi-modal causability with Graph Neural Networks enabling information fusion for explainable AI.,"Holzinger, Andreas; Malle, Bernd; Saranti, Anna; Pfeifer, Bastian","AI is remarkably successful and outperforms human experts in certain tasks, even in complex domains such as medicine. Humans on the other hand are experts at multi-modal thinking and can embed new inputs almost instantly into a conceptual knowledge space shaped by experience. In many fields the aim is to build systems capable of explaining themselves, engaging in interactive what-if questions. Such questions, called counterfactuals, are becoming important in the rising field of explainable AI (xAI). Our central hypothesis is that using conceptual knowledge as a guiding model of reality will help to train more explainable, more robust and less biased machine learning models, ideally able to learn from fewer data. One important aspect in the medical domain is that various modalities contribute to one single result. Our main question is ""How can we construct a multi-modal feature representation space (spanning images, text, genomics data) using knowledge bases as an initial connector for the development of novel explanation interface techniques?"". In this paper we argue for using Graph Neural Networks as a method-of-choice, enabling information fusion for multi-modal causability (causability – not to confuse with causality – is the measurable extent to which an explanation to a human expert achieves a specified level of causal understanding). The aim of this paper is to motivate the international xAI community to further work into the fields of multi-modal embeddings and interactive explainability, to lay the foundations for effective future human–AI interfaces. We emphasize that Graph Neural Networks play a major role for multi-modal causability, since causal links between features can be defined directly using graph structures. • How multi-modal representations enable joint learning of a single outcome. • How embeddings can be learned in a distributed manner securely & efficiently. • How to use counterfactual paths for intuitive explainability and causability.",2021,07//,Information Fusion,technology,tech_if,71,,28-37,,,,#4346,Holzinger 2021,,
"ONTbarcoder and MinION barcodes aid biodiversity discovery and identification by everyone, for everyone.","Srivathsan, Amrita; Lee, Leshon; Katoh, Kazutaka; Hartop, Emily; Kutty, Sujatha Narayanan; Wong, Johnathan; Yeo, Darren; Meier, Rudolf","Background: DNA barcodes are a useful tool for discovering, understanding, and monitoring biodiversity which are critical tasks at a time of rapid biodiversity loss. However, widespread adoption of barcodes requires cost-effective and simple barcoding methods. We here present a workflow that satisfies these conditions. It was developed via ""innovation through subtraction"" and thus requires minimal lab equipment, can be learned within days, reduces the barcode sequencing cost to < 10 cents, and allows fast turnaround from specimen to sequence by using the portable MinION sequencer. Results: We describe how tagged amplicons can be obtained and sequenced with the real-time MinION sequencer in many settings (field stations, biodiversity labs, citizen science labs, schools). We also provide amplicon coverage recommendations that are based on several runs of the latest generation of MinION flow cells (""R10.3"") which suggest that each run can generate barcodes for > 10,000 specimens. Next, we present a novel software, ONTbarcoder, which overcomes the bioinformatics challenges posed by MinION reads. The software is compatible with Windows 10, Macintosh, and Linux, has a graphical user interface (GUI), and can generate thousands of barcodes on a standard laptop within hours based on only two input files (FASTQ, demultiplexing file). We document that MinION barcodes are virtually identical to Sanger and Illumina barcodes for the same specimens (> 99.99%) and provide evidence that MinION flow cells and reads have improved rapidly since 2018. Conclusions: We propose that barcoding with MinION is the way forward for government agencies, universities, museums, and schools because it combines low consumable and capital cost with scalability. Small projects can use the flow cell dongle (""Flongle"") while large projects can rely on MinION flow cells that can be stopped and re-used after collecting sufficient data for a given project. ",2021,09/29/,BMC Biology,science,sci_biology,19,1,1-21,,,,#4776,Srivathsan 2021,,
Distributed learning machines for solving forward and inverse problems in partial differential equations.,"Dwivedi, Vikas; Parashar, Nishant; Srinivasan, Balaji","We conceptualize Distributed Learning Machines (DLMs) – a novel machine learning approach that integrates existing machine learning algorithms with traditional mesh-based numerical methods for solving forward and inverse problems in nonlinear partial differential equations (PDEs). In conventional numerical methods such as finite element method (FEM), the discretization of the computational domain is a standard technique to reduce the representation load of basis functions. Along the same lines, we propose a distributed neural network architecture that facilitates the simultaneous deployment of several localized neural networks to solve PDEs in a unified manner. The most critical requirement of the DLMs is the synchronization of the distributed neural networks. For this, we introduce a new physics-based interface regularization term to the cost function of the existing learning machines like the Physics Informed Neural Network (PINN) and the Physics Informed Extreme Learning Machine (PIELM). To evaluate the efficacy of this approach, we develop three distinct variants of DLM namely, time-marching Distributed PIELM (DPIELM), Distributed PINN (DPINN) and time-marching DPINN. We show that ideas of linearization and time-marching allow DPIELM to be able to solve nonlinear PDEs to some extent. Next, we show that DPINNs have potential advantages over existing PINNs to solve the inverse problems in heterogeneous media. Finally, we propose a rapid, time-marching version of DPINN which leverages the ideas of transfer learning to accelerate the training. Collectively, this framework leads towards the promise of hybrid Neural Network-FVM or Neural Network-FEM schemes in the future. ",2021,01/08/,Neurocomputing,technology,tech_nc,420,,299-316,,,,#4759,Dwivedi 2021,,
Design and development of sign language questionnaires based on video and web interfaces.,"López, Juan Pedro; Bosch-Baliarda, Marta; Martín, Carlos Alberto; Menéndez, José Manuel; Orero, Pilar; Soler, Olga; Álvarez, Federico","Conventional tests with written information used for the evaluation of sign language (SL) comprehension introduce distortions due to the translation process. This fact affects the results and conclusions drawn and, for that reason, it is necessary to design and implement the same language interpreter-independent evaluation tools. Novel web technologies facilitate the design of web interfaces that support online, multiple-choice questionnaires, while exploiting the storage of tracking data as a source of information about user interaction. This paper proposes an online, multiple-choice sign language questionnaire based on an intuitive methodology. It helps users to complete tests and automatically generates accurate, statistical results using the information and data obtained in the process. The proposed system presents SL videos and enables user interaction, fulfilling the requirements that SL interpretation is not able to cover. The questionnaire feeds a remote database with the user answers and powers the automatic creation of data for analytics. Several metrics, including time elapsed, are used to assess the usability of the SL questionnaire, defining the goals of the predictive models. These predictions are based on machine learning models, with the demographic data of the user as features for estimating the usability of the system. This questionnaire reduces costs and time in terms of interpreter dedication, as well as widening the amount of data collected while employing user native language. The validity of this tool was demonstrated in two different use cases",2019,11//,AI EDAM,ai,ai,33,4,429-441,,,,#4758,López 2019,,
"CERC: an interactive content extraction, recognition, and construction tool for clinical and biomedical text.","Lee, Eva K.; Uppal, Karan","Automated summarization of scientific literature and patient records is essential for enhancing clinical decision-making and facilitating precision medicine. Most existing summarization methods are based on single indicators of relevance, offer limited capabilities for information visualization, and do not account for user specific interests. In this work, we develop an interactive content extraction, recognition, and construction system (CERC) that combines machine learning and visualization techniques with domain knowledge for highlighting and extracting salient information from clinical and biomedical text.<bold>Methods: </bold>A novel sentence-ranking framework multi indicator text summarization, MINTS, is developed for extractive summarization. MINTS uses random forests and multiple indicators of importance for relevance evaluation and ranking of sentences. Indicative summarization is performed using weighted term frequency-inverse document frequency scores of over-represented domain-specific terms. A controlled vocabulary dictionary generated using MeSH, SNOMED-CT, and PubTator is used for determining relevant terms. 35 full-text CRAFT articles were used as the training set. The performance of the MINTS algorithm is evaluated on a test set consisting of the remaining 32 full-text CRAFT articles and 30 clinical case reports using the ROUGE toolkit.<bold>Results: </bold>The random forests model classified sentences as ""good"" or ""bad"" with 87.5% accuracy on the test set. Summarization results from the MINTS algorithm achieved higher ROUGE-1, ROUGE-2, and ROUGE-SU4 scores when compared to methods based on single indicators such as term frequency distribution, position, eigenvector centrality (LexRank), and random selection, p < 0.01. The automatic language translator and the customizable information extraction and pre-processing pipeline for EHR demonstrate that CERC can readily be incorporated within clinical decision support systems to improve quality of care and assist in data-driven and evidence-based informed decision making for direct patient care.<bold>Conclusions: </bold>We have developed a web-based summarization and visualization tool, CERC ( https://newton.isye.gatech.edu/CERC1/ ), for extracting salient information from clinical and biomedical text. The system ranks sentences by relevance and includes features that can facilitate early detection of medical risks in a clinical setting. The interactive interface allows users to filter content and edit/save summaries. The evaluation results on two test corpuses show that the newly developed MINTS algorithm outperforms methods based on single characteristics of importance.",2020,,BMC Medical Informatics & Decision Making,technology,tech_humanhealth,20,,1-14,,,,#4757,,,
Investigating a Mixed-Initiative Workflow for Digital Mind-Mapping.,"Ting-Ju Chen; Krishnamurthy, Vinayak R.","In this paper, we report on our investigation of human-AI collaboration for mind-mapping. We specifically focus on problem exploration in pre-conceptualization stages of early design. Our approach leverages the notion of query expansion--the process of refining a given search query for improving information retrieval. Assuming a mind-map as a network of nodes, we reformulate its construction process as a sequential interaction workflow wherein a human user and an intelligent agent take turns to add one node to the network at a time. Our contribution is the design, implementation, and evaluation of algorithm that powers the intelligent agent (IA). This paper is an extension of our prior work (Chen et al., 2019, ""Mini-Map: Mixed-Initiative Mind-Mapping Via Contextual Query Expansion,"" AIAA Scitech 2020 Forum, p. 2347) wherein we developed this algorithm, dubbed Mini-Map, and implemented a web-based workflow enabled by ConceptNet (a large graph-based representation of ""commonsense"" knowledge). In this paper, we extend our prior work through a comprehensive comparison between human-AI collaboration and human-human collaboration for mind-mapping. We specifically extend our prior work by: (a) expanding on our previous quantitative analysis using established metrics and semantic studies, (b) presenting a new detailed video protocol analysis of the mind-mapping process, and (c) providing design implications for digital mind-mapping tools.",2020,10//,Journal of Mechanical Design,technology,tech_design_app,142,10,101404-1-101404-16,,,,#4734,Ting-JuChen 2020,,
Design of Visual Education Resource Library Based on 3D Modeling.,Dongmei Xia; Jing Li; Liang Zhou,"At present, the problems in the design of 3D visualization resources, such as less involved in interaction design, no unified design standards and norms, lack of effective innovation guidance mechanism and no unified evaluation system. In order to further promote the deep integration of information technology and teaching resources, the design and application of 3D visualization resources in teaching scenes are studied. Take the amino acid of biology compulsory textbook in the first year of high school as an example; according to the design scheme, the 3D visualization resources are produced. The main processes include selection of production tools, preparation and production of materials, writing of scripts, design of learning interfaces, design of interactive logic relations, control and output of programs, and then the relevant results are displayed. Then, the 3D visualization resources are applied to the future classrooms equipped with the starC electronic double board and the group touch screen, and the teaching effects are analyzed and evaluated. The research shows that the 3D visualization resources can effectively improve the students' interest in learning and help students understand the knowledge.",2018,11//,International Journal of Emerging Technologies in Learning,education,edu_tech,13,11,170-183,,,,#4719,DongmeiXia 2018,,
Avoiding Help Avoidance: Using Interface Design Changes to Promote Unsolicited Hint Usage in an Intelligent Tutor.,"Maniktala, Mehak; Cody, Christa; Barnes, Tiffany; Chi, Min","Within intelligent tutoring systems, considerable research has investigated hints, including how to generate data-driven hints, what hint content to present, and when to provide hints for optimal learning outcomes. However, less attention has been paid to how hints are presented. In this paper, we propose a new hint delivery mechanism called ""Assertions"" for providing unsolicited hints in a data-driven intelligent tutor. Assertions are partially-worked example steps designed to appear within a student workspace, and in the same format as student-derived steps, to show students a possible subgoal leading to the solution. We hypothesized that Assertions can help address the well-known hint avoidance problem. In systems that only provide hints upon request, hint avoidance results in students not receiving hints when they are needed. Our unsolicited Assertions do not seek to improve student help-seeking, but rather seek to ensure students receive the help they need. We contrast Assertions with Messages, text-based, unsolicited hints that appear after student inactivity. Our results show that Assertions significantly increase unsolicited hint usage compared to Messages. Further, they show a significant aptitude-treatment interaction between Assertions and prior proficiency, with Assertions leading students with low prior proficiency to generate shorter (more efficient) posttest solutions faster. We also present a clustering analysis that shows patterns of productive persistence among students with low prior knowledge when the tutor provides unsolicited help in the form of Assertions. Overall, this work provides encouraging evidence that hint presentation can significantly impact how students use them and using Assertions can be an effective way to address help avoidance. ",2020,12//,International Journal of Artificial Intelligence in Education (Springer Science & Business Media B.V.),education,edu_ai,30,4,637-667,,,,#4708,Maniktala 2020,,
Visual representation fidelity and self‐explanation prompts in multi‐representational adaptive learning.,"Joo, Hyun; Park, Jongchan; Kim, Dongsik","In their prior research on adaptive instruction for multi‐representational learning, the researchers explored various perspectives on designing visual representations and scaffolds. However, controversies and discrepancies regarding the fidelity of visual representations and self‐explanation prompts have yet to be resolved. This research thus examines types of visual representations and self‐explanation prompts and thereby suggests instructional strategies for multi‐representational adaptive learning. Sixty‐nine college students participated in a 2 × 2 between‐subjects study design (schematic only and adaptively increasing the fidelity of visual representation as well as fixed and fading self‐explanation prompts). Adaptively increasing visual fidelity was shown to be effective for mental model construction. Knowledge inference was most enhanced in the group utilising both adaptive approaches. The increased germane cognitive load appears to have mediated, in particular, the effects of visually adaptive instruction. This research suggests that visually adaptive instruction should include customized self‐explanation supports to ensure successful multi‐representational adaptive learning. This research reveals that sequencing visual representations with increasing fidelity as learning progress in instructional materials and offering fading support for prompts tailored to learning progress are the two effective and complementary ways to ensure customized learning. Lay Description: What is already known about this topic: Various perspectives on designing visual representations and scaffolds have been taken into consideration to construct optimal adaptive instruction for multi‐representational learning: the varying degree of visual representation fidelity (i.e., schematic up to realistic) and the level of support for self‐explanation (i.e., structured or less‐structured prompts). What this paper adds: Adaptively increasing the fidelity of the visual representations can enhance learners' pictorial constructions of mental models and promote knowledge inference.Fading scaffolding of self‐explanation prompts helps prevent the expertise reversal effect by averting any possible cognitive overload, and promote knowledge inference.Adaptive approach may influence the increase in the germane cognitive load to the most optimal degree to mediate the learning outcome. Implications for practice and/or policy: Sequencing visual representations with increasing fidelity as learning progress in textbooks and other instructional materials, whether analogue or digital, and offering fading support for prompts tailored to learning progress are the two effective and complementary ways to ensure customized learning.The results regarding the effects of visual representation fidelity and self‐explanation prompts can be used to guide the application of adaptive instructional algorithms in intelligent tutoring systems. ",2021,08//,Journal of Computer Assisted Learning,education,edu_cog_ac,37,4,1091-1106,,,,#4704,Joo 2021,,
Evaluations of an artificial intelligence instructor's voice: Social Identity Theory in human-robot interactions.,"Edwards, Chad; Edwards, Autumn; Stoll, Brett; Lin, Xialing; Massey, Noelle",Abstract This study employs the Computers are Social Actors (CASA) paradigm to extend the predictions of Social Identity Theory (SIT) to human-robot interaction (HRI) in the context of instructional communication. SIT posits that individuals gain a sense of personal worth from the groups with which they identify. Previous research has demonstrated that age group identification is meaningful to individuals' self-concepts. Results demonstrated that higher age identified students rated the older A.I. voice instructor (representing an out-group member) higher for credibility and social presence and reported more motivation to learn than those students with low age identification. Implications are discussed for SIT and design features of computerized voices. Highlights • Age identity matters for evaluations of A.I. voice. • Higher age identified students rated the older A.I. voice higher for credibility. • Higher age identified students rated the A.I. voice higher for social presence and reported more motivation to learn. • Implications are discussed for Human-Robot interaction and design.,2019,01//,Computers in Human Behavior,technology,tech_human_inter,90,,357-362,,,,#4702,Edwards 2019,,
The correlation analysis between the service quality of intelligent library and the behavioral intention of users.,"Chen, Min; Shen, Chien-wen","Purpose: The purpose of this study was to explore the effect of innovative service mode of intelligent library on improving the service quality and a series of impacts on user behavior. With the rapid development of information technology, internet of things has become an important carrier of people's ""intelligent life"". The emergence of intelligent library will no longer be limited by space; it is affecting people's lives and work imperceptibly. This new service mode was studied here, and the relationship between the service quality of intelligent library and users' behavior was analyzed from the perspective of user acceptance and use behavior of intelligent library. Moreover, this study explores how to optimize the service quality to let users accept this technology and service mode and thus realize the original idea. Design/methodology/approach: Through 800 questionnaires issued to the users in the Zhejiang Provincial AI Library, the authors obtained the study data. Among the received questionnaires, 676 copies are valid, and 124 responses are either incomplete or not answered, and so, the efficient rate is 84.5 per cent. Findings: There is a significantly positive correlation between service innovation and service quality. There is a significantly positive correlation between service quality and behavioral intention. There is a significantly positive correlation between service innovation and behavioral intention. Originality/value: From the point of view of innovative service, this paper analyzes the effect of innovative service mode of intelligent library on improving the service quality and a series of impacts on user behavior. This study confirms that intelligent library is a relatively new service innovation. Users' curiosity and exploration will make them access some relevant information. As a result, a reasonably innovative service is an important factor in users' acceptance behavior.",2020,01//,Electronic Library,science,sci_library_tm,38,1,95-112,,,,#4342,Chen 2020,,
Artificial intelligence as an emerging technology in the current care of neurological disorders.,"Patel, Urvish K.; Anwar, Arsalan; Saleem, Sidra; Malik, Preeti; Rasul, Bakhtiar; Patel, Karan; Yao, Robert; Seshadri, Ashok; Yousufuddin, Mohammed; Arumaithurai, Kogulavadanan","Background: Artificial intelligence (AI) has influenced all aspects of human life and neurology is no exception to this growing trend. The aim of this paper is to guide medical practitioners on the relevant aspects of artificial intelligence, i.e., machine learning, and deep learning, to review the development of technological advancement equipped with AI, and to elucidate how machine learning can revolutionize the management of neurological diseases. This review focuses on unsupervised aspects of machine learning, and how these aspects could be applied to precision neurology to improve patient outcomes. We have mentioned various forms of available AI, prior research, outcomes, benefits and limitations of AI, effective accessibility and future of AI, keeping the current burden of neurological disorders in mind. Discussion: The smart device system to monitor tremors and to recognize its phenotypes for better outcomes of deep brain stimulation, applications evaluating fine motor functions, AI integrated electroencephalogram learning to diagnose epilepsy and psychological non-epileptic seizure, predict outcome of seizure surgeries, recognize patterns of autonomic instability to prevent sudden unexpected death in epilepsy (SUDEP), identify the pattern of complex algorithm in neuroimaging classifying cognitive impairment, differentiating and classifying concussion phenotypes, smartwatches monitoring atrial fibrillation to prevent strokes, and prediction of prognosis in dementia are unique examples of experimental utilizations of AI in the field of neurology. Though there are obvious limitations of AI, the general consensus among several nationwide studies is that this new technology has the ability to improve the prognosis of neurological disorders and as a result should become a staple in the medical community. Conclusion: AI not only helps to analyze medical data in disease prevention, diagnosis, patient monitoring, and development of new protocols, but can also assist clinicians in dealing with voluminous data in a more accurate and efficient manner. ",2021,05//,Journal of Neurology,science,sci_neurology,268,5,1623-1642,,,,#4338,Patel 2021,,
A qualitative research framework for the design of user-centered displays of explanations for machine learning model predictions in healthcare.,"Barda, Amie J.; Horvat, Christopher M.; Hochheiser, Harry","<bold>Background: </bold>There is an increasing interest in clinical prediction tools that can achieve high prediction accuracy and provide explanations of the factors leading to increased risk of adverse outcomes. However, approaches to explaining complex machine learning (ML) models are rarely informed by end-user needs and user evaluations of model interpretability are lacking in the healthcare domain. We used extended revisions of previously-published theoretical frameworks to propose a framework for the design of user-centered displays of explanations. This new framework served as the basis for qualitative inquiries and design review sessions with critical care nurses and physicians that informed the design of a user-centered explanation display for an ML-based prediction tool.<bold>Methods: </bold>We used our framework to propose explanation displays for predictions from a pediatric intensive care unit (PICU) in-hospital mortality risk model. Proposed displays were based on a model-agnostic, instance-level explanation approach based on feature influence, as determined by Shapley values. Focus group sessions solicited critical care provider feedback on the proposed displays, which were then revised accordingly.<bold>Results: </bold>The proposed displays were perceived as useful tools in assessing model predictions. However, specific explanation goals and information needs varied by clinical role and level of predictive modeling knowledge. Providers preferred explanation displays that required less information processing effort and could support the information needs of a variety of users. Providing supporting information to assist in interpretation was seen as critical for fostering provider understanding and acceptance of the predictions and explanations. The user-centered explanation display for the PICU in-hospital mortality risk model incorporated elements from the initial displays along with enhancements suggested by providers.<bold>Conclusions: </bold>We proposed a framework for the design of user-centered displays of explanations for ML models. We used the proposed framework to motivate the design of a user-centered display of an explanation for predictions from a PICU in-hospital mortality risk model. Positive feedback from focus group participants provides preliminary support for the use of model-agnostic, instance-level explanations of feature influence as an approach to understand ML model predictions in healthcare and advances the discussion on how to effectively communicate ML model information to healthcare providers.",2020,10/08/,BMC Medical Informatics & Decision Making,technology,tech_humanhealth,20,1,N.PAG-N.PAG,,,,#4701,Barda 2020,,
"Evolution, challenges, and application of intelligent ICT education: An overview.","Haldorai, Anandakumar; Murugan, Suriya; Ramu, Arulmurugan","Artificial intelligence (AI) aims at critically transforming the information and communication technology (ICT) sector through various technological advancements, such as machine learning, deep learning, and natural language processing. These technologies are meant to develop the process of communication, digital commerce, content, and apps. AI is also meant to initiate novel business frameworks and formulate a completely novel business opportunity as efficiencies and interfaces facilitate the engagement, which has been heretofore unintelligible. A number of industry verticals will be changed through this form of evolution, as digital and ICT technologies are critical in supporting the various aspects of industrial operations, which include sales, marketing processes, supply chains, product and service delivery, and support frameworks. For instance, substantial implication of the frameworks can be witnessed in medical and bioinformatics, including the financial service segments. Workforce automation is a field that will influence various industrial verticals, as AI significantly develops the flow of work, accelerations, and processes of the return on investment for intelligent workplace application. This paper signifies the role of AI in ICT education, including the way intelligent ICT education has significantly developed its application and challenges",2021,05//,Computer Applications in Engineering Education,education,edu_eng_comput,29,3,562-571,,,,#4333,Haldorai 2021,,
The Use of Artificial Intelligence Combined With Cloud Computing in the Design of Education Information Management Platform.,Qiang Li,"Based on cloud computing theory and service-oriented architecture (SOA) design pattern, a smart education management platform is designed by using cloud computing and artificial intelligence technology. The platform is deployed in the server cluster environment, with Hadpoop managed storage cluster as the data storage center. For the education management, education portal and remote classroom, the corresponding services are launched, which has the advantages of intelligent and efficient, massive data access and intelligent collaborative management. The test results show that the platform can be used normally in the ports of computer, mobile phone and tablet computer, and can successfully complete the basic operations such as user registration and login, educational administration, and content storage. The results of database stress test show that the total time consumption of sequential read, sequential write, random read and random write is 752s, 312s, 968s and 211s, respectively when millions of simulated data are inserted into the database, which indicates that the database can support large-scale data access. The stress test results of content storage service show that when the number of clients is adjusted to 500, 1000 and 3000, the output quantity of each read-write interface can be maintained at about 3500 pages/min in 60s, indicating that the system can still run stably under the condition of high concurrency. The management platform discussed has practical significance to promote the development of intelligent and information-based education management. ",2021,05//,International Journal of Emerging Technologies in Learning,education,edu_tech,15,5,32-44,,,,#4328,QiangLi 2021,,
